GeneID,Chr,Start,End,Strand,Length,HI.3202.005.Index_10.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d2.bam,HI.3202.005.Index_11.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d3.bam,HI.3202.005.Index_1.BM_Ctrl.NAB2.PrA.CSL4.URA.d1.bam,HI.3202.005.Index_20.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_21.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_22.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_23.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_25.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_27.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_3.BM_Ctrl.NAB2.PrA.CSL4.URA.d2.bam,HI.3202.005.Index_8.BM_Ctrl.NAB2.PrA.CSL4.URA.d3.bam,HI.3202.005.Index_9.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d1.bam,HI.3758.002.Index_12.BM.MO_dpl.enp1.37C.30.3.1.bam,HI.3758.002.Index_13.BM.MO_dpl.enp1.37C.30.3.2.bam,HI.3758.002.Index_14.BM.MO_dpl.enp1.37C.90.4.1.bam,HI.3758.002.Index_15.BM.MO_dpl.enp1.37C.90.4.2.bam,HI.3758.002.Index_18.BM.MO_dpl.enp1.37C.180.5.1.bam,HI.3758.002.Index_19.BM.MO_dpl.enp1.37C.180.5.2.bam,HI.3758.002.Index_2.BM.MO_dpl.CSL4ph.37C.30.1.1.bam,HI.3758.002.Index_4.BM.MO_dpl.CSL4ph.37C.30.1.2.bam,HI.3758.002.Index_5.BM.MO_dpl.enp1.25C.2.1.bam,HI.3758.002.Index_6.BM.MO_dpl.enp1.25C.2.2.bam,HI.3758.004.Index_21.BM.MO_dpl.srm1.37C.30.7.1.bam,HI.3758.004.Index_22.BM.MO_dpl.srm1.37C.30.7.2.bam,HI.3758.004.Index_25.BM.MO_dpl.srm1.37C.90.8.1.bam,HI.3758.004.Index_27.BM.MO_dpl.srm1.37C.90.8.2.bam,HI.3758.004.Index_8.BM.MO_dpl.srm1.25C.6.1.bam,HI.3758.004.Index_9.BM.MO_dpl.srm1.25C.6.2.bam,HI.4535.001.Index_13.CA_Dis3.1.4.bam,HI.4535.001.Index_16.CA_Rrp6.delta.5.bam,HI.4535.001.Index_18.CA_Rrp6.delta.6.bam,HI.4535.001.Index_2.CA_WT.1.bam,HI.4535.001.Index_4.CA_WT.2.bam,HI.4535.001.Index_7.CA_Dis3.1.3.bam
XUT_1F-89,I,196667,197198,+,532,186,171,91,583,659,667,846,1265,1326,104,102,145,492,479,921,877,753,723,762,618,276,337,450,443,274,274,349,342,507,583,670,154,122,504
XUT_1F-93,I,200618,202695,+,2078,279,310,77,1195,1195,1297,1601,1980,2072,71,112,240,496,479,1224,1042,982,844,1289,1158,173,239,258,275,181,163,225,236,1108,1153,1167,261,191,1274
XUT_1F-90,I,197279,200030,+,2752,502,616,246,2901,2678,3018,3151,4445,4777,246,308,460,1451,1629,2876,2856,2283,2305,3154,2717,830,1006,989,1082,715,783,767,715,1628,2155,2165,568,468,1831
XUT_1F-60,I,137744,138816,+,1073,34,26,14,193,219,204,311,401,482,11,7,16,222,233,357,350,232,187,310,241,33,55,275,285,373,338,41,32,141,183,193,17,26,157
XUT_1F-72,I,172061,172437,+,377,22,28,2,55,37,46,48,63,82,6,11,24,109,107,125,127,134,107,123,65,33,13,28,28,48,32,12,12,43,65,78,14,9,72
XUT_1F-75,I,180400,180734,+,335,52,58,11,424,374,393,457,602,622,12,18,62,132,138,198,210,136,102,522,487,29,44,70,61,83,81,14,18,183,148,140,12,11,219
SUT433,I,28083,29772,-,1690,52,77,14,208,235,221,206,305,336,11,15,36,108,67,207,236,283,285,336,279,57,79,501,458,394,401,115,80,238,120,142,28,25,273
SUT434,I,31484,32748,-,1265,793,747,267,2093,1789,1951,1804,2089,2263,331,303,587,3532,3367,3248,2560,1605,1706,2699,2334,963,990,1573,1336,1285,1249,1129,1113,1139,1023,1079,202,158,1262
SUT432,I,5075,6237,-,1163,36,32,14,149,177,165,213,295,332,14,23,26,28,43,80,88,91,75,181,183,10,12,30,28,17,26,28,30,145,160,149,77,81,131
CUT3349,I,19073,20161,-,1089,65,85,8,216,201,216,247,310,353,16,8,42,48,56,60,49,51,50,339,254,19,29,227,257,183,179,50,54,75,91,80,50,37,118
XUT_1R-85,I,185987,186358,-,372,33,33,6,113,105,102,144,173,189,4,6,24,62,63,132,112,72,79,116,99,22,40,14,30,18,23,19,15,58,37,39,2,6,52
XUT_1R-87,I,187092,188135,-,1044,218,296,72,667,593,581,730,867,775,96,94,188,402,364,919,749,545,573,556,599,210,268,141,89,125,86,261,223,416,483,461,207,156,463
XUT_1R-80,I,181503,181809,-,307,17,14,3,76,53,70,114,98,116,4,1,7,10,17,34,33,28,27,38,40,5,9,9,10,17,22,8,5,30,25,29,8,0,44
XUT_1R-83,I,182874,183599,-,726,173,173,67,292,266,233,268,367,406,51,95,111,188,225,254,267,216,227,653,462,96,139,196,198,194,241,78,91,350,360,464,191,135,408
XUT_1R-99,I,203588,204277,-,690,26,23,40,81,82,99,95,134,145,81,58,21,586,572,1131,938,865,819,81,67,160,124,61,58,28,30,70,73,70,21,28,70,57,69
XUT_1R-90,I,188795,189114,-,320,81,91,30,177,137,134,119,180,219,36,53,60,177,151,240,242,171,163,189,202,99,89,53,43,54,44,101,121,112,112,123,26,29,147
XUT_1R-91,I,189574,190047,-,474,66,78,77,266,221,225,175,233,253,60,73,60,197,182,442,349,381,369,280,235,44,69,64,78,70,64,90,94,224,226,209,102,92,271
in_YAL003W.I1,I,142253,142620,0,368,4213,4711,2017,2504,2001,2142,1574,1868,2291,2469,2444,3137,2863,3162,4547,3518,3506,3244,3934,3598,4309,4807,2177,2055,1432,1387,3696,3681,2194,7022,6776,2132,1674,2341
CUT2408,I,26638,26953,+,316,0,0,0,2,1,0,1,1,3,1,0,0,3,1,6,7,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CUT3752,I,85235,85484,+,250,6,6,4,98,93,74,145,190,202,3,6,9,100,111,270,231,145,168,37,47,11,27,33,31,31,38,9,1,27,32,27,3,4,45
XUT_1R-79,I,180277,180956,-,680,33,50,33,256,236,219,263,329,340,29,47,55,163,163,334,276,199,207,289,302,34,37,103,138,125,131,115,80,192,159,203,74,64,211
XUT_1R-40,I,73798,74694,-,897,17,26,4,415,423,432,420,484,615,13,11,14,314,374,866,801,489,530,344,332,35,32,431,366,1352,1266,25,43,197,266,319,24,14,212
XUT_1R-55,I,133550,133959,-,410,45,39,13,115,113,88,101,160,175,7,14,32,174,145,217,172,167,121,141,146,58,64,145,173,101,109,51,53,51,86,65,10,8,63
XUT_1R-20,I,35025,35381,-,357,22,24,4,223,191,203,250,325,451,14,5,22,98,104,204,196,160,181,168,133,14,18,45,25,119,113,9,4,153,137,113,1,1,191
XUT_1R-39,I,71123,71515,-,393,16,22,10,105,84,78,66,84,103,18,26,10,64,93,95,81,40,50,94,76,26,20,36,33,48,51,26,16,36,36,21,14,15,47
XUT_1R-35,I,65391,65728,-,338,39,46,22,68,44,55,61,91,112,26,36,26,114,154,141,142,98,90,181,121,90,78,43,36,18,20,44,52,87,92,76,37,29,100
XUT_1R-16,I,28986,29746,-,761,41,55,9,124,161,133,135,200,237,9,10,21,53,31,137,136,192,184,220,192,31,50,260,249,214,209,80,43,177,89,108,16,14,204
XUT_1R-18,I,31637,34448,-,2812,1590,1550,558,4166,3612,4024,3742,4458,5121,686,583,1242,5123,4723,5374,4427,2755,2883,4776,4236,1617,1696,1988,1714,1889,1785,1438,1453,1858,2000,1924,462,361,2062
XUT_1R-101,I,206240,206695,-,456,25,32,22,99,107,101,128,136,175,43,41,19,460,440,832,764,599,591,96,118,101,98,50,29,43,38,39,57,76,42,51,49,45,88
XUT_1R-107,I,210434,210807,-,374,10,6,3,180,180,171,246,311,334,6,2,7,5,9,35,30,36,24,152,114,2,6,10,5,4,2,1,1,88,90,106,4,10,103
XUT_1R-108,I,220242,220682,-,441,269,262,65,1001,915,957,965,1103,1331,104,71,220,524,515,1119,922,1010,1023,637,556,202,205,56,64,71,83,122,119,813,708,736,100,86,836
XUT_1R-103,I,206733,207482,-,750,28,34,82,295,211,225,249,386,396,138,139,37,920,827,2146,1788,1572,1669,155,148,162,182,71,74,42,45,100,94,180,56,42,97,83,189
CUT4120,I,135303,135831,-,529,182,188,160,297,242,270,244,322,415,201,211,161,330,309,433,360,327,353,384,356,215,259,264,219,163,168,291,270,221,280,332,263,238,259
NUT0825,I,137135,137473,-,339,6,1,2,121,102,105,176,296,287,2,0,5,38,24,103,79,47,42,160,115,11,16,17,19,34,38,9,17,60,100,97,2,2,70
NUT0826,I,184867,189089,-,4223,621,668,202,1732,1590,1487,1772,2332,2052,206,294,474,1174,1070,2336,1991,1495,1428,1706,1636,622,727,422,334,373,271,708,653,1076,1112,1105,428,349,1213
NUT0827,I,214996,223083,-,8088,880,840,180,3353,2953,3063,3272,4016,4492,719,256,690,1779,1774,3969,3214,3691,3917,2281,1988,670,707,227,165,261,290,394,381,2883,2544,2534,291,229,3217
NUT0828,I,223948,225015,-,1068,2,0,1,14,19,12,15,24,28,0,0,1,1,0,1,0,3,0,28,22,0,3,0,0,2,2,0,2,7,22,13,0,0,18
NUT0820,I,31418,36376,-,4959,1868,1837,618,6099,5367,5849,5838,7162,8285,755,636,1445,6110,5587,7100,5885,4113,4127,6530,5816,1774,1872,2285,1997,2628,2570,1603,1601,3174,3184,3039,516,397,3496
NUT0821,I,31418,37244,-,5827,1887,1863,622,6293,5594,6070,6092,7502,8724,761,640,1471,6250,5699,7310,6103,4233,4243,6703,5948,1795,1881,2330,2043,2698,2648,1620,1618,3266,3277,3131,520,397,3630
NUT0822,I,92583,94329,-,1747,39,30,7,279,242,280,497,652,688,13,7,20,277,227,909,792,758,696,182,125,37,57,150,122,114,119,9,8,137,139,139,8,2,192
NUT0823,I,128113,130469,-,2357,1394,1381,1196,2271,1969,1993,1846,2117,2325,1380,1313,1037,4747,4467,5366,4198,2247,2105,2890,2674,1614,1521,3717,3242,4229,3900,1883,1578,1219,1518,1429,1188,971,1420
NUT0824,I,135788,136710,-,923,42,42,24,605,578,590,746,1009,1108,11,28,28,198,246,424,357,332,278,724,600,37,34,72,63,141,99,21,12,386,210,247,22,20,433
NUT0817,I,10396,11184,-,789,4,8,0,45,52,39,80,117,125,1,0,3,5,6,17,7,15,7,104,50,2,1,0,1,2,1,1,0,41,26,35,0,6,56
NUT0818,I,11491,16845,-,5355,36,43,7,430,398,364,734,833,1042,13,14,24,149,184,194,183,217,221,296,205,43,57,123,127,117,105,44,42,162,159,158,54,54,190
NUT0819,I,28908,31003,-,2096,55,63,28,395,431,362,532,794,837,32,25,27,141,115,481,455,700,718,661,505,66,86,340,312,297,312,99,61,641,278,349,74,52,726
CUT3609,I,17667,18596,-,930,16,22,4,142,139,118,151,180,253,13,9,17,17,25,34,35,34,44,153,129,4,7,91,100,82,74,12,16,59,55,51,42,16,51
CUT4435,I,52479,53924,+,1446,33,39,12,432,405,360,462,575,645,21,15,21,291,261,508,426,164,202,448,385,55,61,315,285,327,265,18,19,92,38,24,17,7,127
SUT004,I,198781,199902,+,1122,320,396,214,1639,1441,1646,1590,2184,2343,201,241,292,891,992,1383,1376,1060,1088,1891,1651,464,536,553,538,376,415,498,420,857,1166,1163,437,383,968
SUT002,I,43440,45328,+,1889,1019,1088,144,7324,6305,6351,6557,8370,9313,175,174,837,3050,2957,4585,3779,2578,2538,5606,5046,712,671,744,682,1115,1042,598,601,2395,1193,1113,179,187,2679
SUT003,I,68718,69486,+,769,595,573,113,3723,3162,3320,3147,3957,4422,135,139,425,2099,1874,1781,1424,935,859,3774,3409,395,387,1112,902,1665,1614,195,190,1259,659,511,64,42,1359
in_YAL030W.I1,I,87387,87501,0,115,150,159,162,185,178,161,147,212,221,220,189,121,460,410,400,340,268,266,338,271,264,212,254,293,215,211,281,253,153,163,191,196,147,161
NUT0001,I,11532,18371,+,6840,1146,1173,485,5314,4874,5416,5167,5971,6497,491,526,785,5951,6339,10759,10004,5566,5964,5405,4450,1296,1619,689,559,751,639,1257,1194,2347,2360,2245,600,496,2350
NUT0002,I,19169,22185,+,3017,40,52,14,553,499,529,718,866,985,12,12,33,326,356,562,506,343,310,465,348,15,34,68,80,82,77,17,5,219,146,226,47,26,242
NUT0003,I,30054,30929,+,876,90,125,9,342,324,339,420,577,612,7,12,54,66,66,156,136,113,108,385,312,31,27,51,43,104,63,39,35,242,250,302,19,21,265
NUT0004,I,42889,45238,+,2350,1050,1118,150,7733,6688,6734,6980,8951,9969,176,182,866,3134,3046,4816,3950,2730,2660,5765,5282,726,687,827,754,1267,1184,613,600,2602,1337,1193,190,190,2846
NUT0005,I,68669,70988,+,2320,746,722,142,5248,4419,4671,4489,5822,6467,175,191,527,2436,2230,2385,1905,1181,1141,5112,4574,492,478,1325,1104,2164,2030,277,273,1725,890,732,124,82,1878
NUT0006,I,126928,129139,+,2212,91,108,22,1199,1068,951,1311,1656,1842,28,35,63,742,735,1319,1046,603,572,898,834,114,112,1372,1256,1406,1358,62,53,398,187,205,20,25,437
NUT0007,I,154024,154777,+,754,7,15,7,131,139,101,121,148,175,2,3,13,117,128,218,167,94,92,89,90,24,22,616,546,426,427,36,18,28,82,92,6,7,44
NUT0008,I,223195,224006,+,812,7,0,0,5,5,12,3,10,13,1,0,6,0,5,11,17,13,5,17,16,2,1,1,2,1,4,1,2,6,14,14,1,3,24
NUT0009,I,227574,229274,+,1701,280,263,8,568,537,525,416,528,593,12,11,191,125,139,142,97,108,102,1040,1022,62,71,721,678,1355,1204,45,33,311,2099,1997,20,26,390
CUT3516,I,40762,41184,+,423,455,506,462,873,756,732,613,784,930,520,522,372,1547,1513,2134,1742,1143,1221,1166,991,911,1035,1593,1348,1636,1539,1038,892,518,557,484,418,337,562
XUT_1R-2,I,5236,5887,-,652,24,13,4,88,122,98,139,188,206,12,16,14,15,15,53,61,52,58,115,118,7,5,16,18,8,13,15,21,95,114,92,54,50,88
SUT001,I,9368,9600,+,233,9,13,2,40,41,43,59,80,92,5,3,8,0,0,17,21,14,10,38,53,2,1,0,0,0,0,2,0,27,33,31,30,16,25
XUT_1R-5,I,17191,17980,-,790,13,17,3,89,91,85,117,112,173,12,6,8,16,19,24,24,26,32,106,79,4,6,55,57,52,40,11,8,49,35,41,40,19,49
CUT2245,I,119906,120468,-,563,10,4,2,20,23,20,28,41,39,8,2,6,45,32,161,135,191,196,30,46,26,23,113,81,78,99,4,8,8,6,8,8,2,14
XUT_2R-178,II,408017,409207,-,1191,154,212,35,785,761,756,741,898,1101,26,36,114,165,201,360,290,253,283,1204,1190,77,83,349,300,1066,993,116,103,409,422,401,38,23,468
XUT_2R-183,II,417024,417494,-,471,10,27,3,64,59,49,73,94,118,13,22,13,26,33,23,32,31,36,71,81,14,7,592,526,522,504,13,9,44,59,47,36,36,43
XUT_2R-166,II,372983,373318,-,336,5,7,4,48,33,33,30,38,76,5,3,3,43,58,83,55,26,42,42,41,23,12,1087,1053,1758,1781,17,14,17,18,17,0,1,18
XUT_2R-172,II,390126,390772,-,647,44,38,14,1009,924,956,937,1297,1484,22,20,24,473,469,590,605,613,630,1446,1239,70,63,1075,1062,2886,2914,72,48,399,244,257,49,26,451
XUT_2R-170,II,380398,381137,-,740,82,81,69,2660,2304,2390,2325,2914,3439,97,85,64,1851,1828,1225,983,350,333,6210,5744,73,68,1045,1019,2102,2102,194,140,495,153,191,102,87,567
SUT017,II,453557,454701,+,1145,186,186,124,1423,1301,1389,1030,1331,1617,97,113,136,2570,2577,3872,3190,1756,1680,2368,2081,414,492,6967,6609,6430,6618,623,595,664,913,805,146,111,622
SUT018,II,474286,476894,+,2609,348,360,191,2196,1926,2055,2072,2577,2827,252,199,262,2625,2562,4584,3750,2629,2609,2180,2032,755,650,2908,2536,4366,4119,1551,1313,1931,1558,1537,190,189,2158
CUT3487,II,155116,155521,-,406,179,162,124,183,126,149,148,230,274,146,152,116,361,439,594,491,444,446,229,235,270,331,1612,1709,1386,1481,691,797,161,218,214,200,181,139
SUT015,II,370545,370873,+,329,27,18,2,78,73,87,157,186,195,6,6,21,19,29,50,66,76,68,133,104,18,11,68,84,197,190,50,53,59,93,112,29,22,71
XUT_2R-154,II,349638,350769,-,1132,49,76,5,212,181,190,219,331,358,11,22,41,119,93,326,253,199,166,299,243,32,35,282,301,262,271,96,55,163,160,166,24,25,168
in_YBR048W.I1,II,332875,333387,0,513,2880,3118,2248,1420,1219,1275,878,1224,1421,2916,2944,2198,2137,2214,2451,2136,2813,2719,3244,2994,3784,3951,3942,3899,5066,5228,6460,6536,1005,1934,1748,1621,1393,1174
SUT014,II,362866,364594,+,1729,569,646,308,1065,1002,997,969,1307,1454,308,369,400,1340,1413,2401,2078,2340,2272,1745,1563,910,897,4298,4298,3033,3150,1902,1958,1051,1384,1375,589,421,1193
CUT3017,II,264623,265364,+,742,188,20,699,2650,312,1646,806,2294,809,815,1066,913,1885,2500,1805,1497,4435,3479,530,1041,549,2017,2831,613,490,2682,1510,3547,1543,5,405,1419,44,37
XUT_2R-142,II,330108,330424,-,317,86,77,35,144,163,153,121,181,229,34,63,70,180,200,262,305,128,144,281,241,68,100,138,161,128,129,264,238,126,121,141,92,81,148
SUT016,II,371273,373730,+,2458,1111,1208,290,5929,5000,5223,5389,6391,7415,379,313,790,2957,2875,5180,4474,4882,4574,5097,4674,651,621,2192,1899,4751,4678,699,691,3292,2101,2014,343,227,3807
CUT3023,II,176058,176566,+,509,15,14,2,97,108,109,64,94,129,4,2,11,339,308,356,329,265,208,224,218,57,72,292,261,627,545,75,79,36,56,54,0,6,34
XUT_2R-136,II,327844,328151,-,308,13,9,7,117,100,92,119,193,188,7,15,7,132,159,222,252,121,118,199,160,15,12,135,156,161,165,28,26,62,68,66,16,14,72
CUT3031,II,415546,415940,+,395,26,25,4,23,24,28,22,29,37,21,12,16,17,20,22,25,21,21,35,24,9,15,62,51,152,133,42,43,18,17,6,7,11,9
XUT_2R-127,II,301354,303621,-,2268,360,372,124,2745,2507,2771,2325,3009,3416,153,143,329,2531,2662,4212,3484,2662,2638,3063,2706,505,630,3925,3631,5780,5526,945,881,1074,2790,2737,263,213,1211
XUT_2R-121,II,288329,289246,-,918,80,79,38,356,392,356,447,532,610,40,43,43,218,227,471,388,315,307,271,239,56,55,672,664,1065,1060,94,107,224,146,146,41,48,242
SUT019,II,532518,533198,+,681,35,29,10,170,178,185,224,343,367,25,32,24,86,102,186,156,124,137,226,163,13,35,339,380,455,500,46,73,117,173,127,57,29,157
XUT_2R-114,II,281281,283948,-,2668,116,90,76,744,681,702,735,946,1029,73,82,68,900,974,1445,1283,779,810,659,583,272,327,3486,3422,3447,3247,437,406,284,236,202,107,58,281
CUT4384,II,270159,271266,-,1108,920,849,627,842,740,749,652,884,892,776,737,787,1690,1642,1969,1603,1361,1251,1146,967,1048,1037,2811,2455,3331,3242,2316,2225,672,1073,1042,638,552,709
CUT4386,II,278619,279541,+,923,69,65,54,548,471,552,554,628,726,81,47,58,533,500,674,675,568,601,490,427,145,158,762,846,651,612,575,575,405,82,76,137,89,346
CUT4385,II,271570,272274,-,705,1589,1668,978,1160,939,1056,895,1102,1195,1341,1341,1300,1569,1634,2369,2087,1759,1758,1461,1218,1704,1732,2947,2887,4241,4186,3465,3219,854,1564,1578,1045,841,971
SUT437,II,45288,45464,-,177,7,3,2,24,21,15,22,24,36,1,1,6,22,12,39,17,7,9,13,14,3,4,146,119,333,278,11,6,4,5,11,1,0,6
SUT020,II,553478,556206,+,2729,331,389,206,1390,1237,1304,1167,1564,1671,246,204,275,1552,1548,2864,2492,1953,1955,1893,1679,444,510,3150,2851,3196,3347,727,706,861,643,621,250,220,1024
XUT_2R-109,II,279141,280938,-,1798,167,137,38,823,649,750,828,990,1153,23,34,111,1214,1246,2347,1910,948,973,830,765,200,186,1320,1382,1772,1731,186,145,256,381,378,30,25,269
XUT_2R-103,II,269734,270170,-,437,48,44,3,248,239,241,262,370,356,26,16,16,752,733,920,789,485,465,312,308,20,31,740,660,978,908,27,30,209,107,90,33,21,200
in_YBL087C.I1,II,60193,60698,0,506,2616,2595,2003,1094,948,981,799,961,1207,2412,2722,2043,2049,2028,2295,1853,2175,2156,2018,1961,3212,3241,2870,2787,4083,3970,4745,4557,741,1694,1519,1197,985,810
in_YBL059W.I1,II,110879,110949,0,71,52,53,22,116,93,97,135,193,181,34,39,25,89,101,186,163,117,104,184,133,65,56,239,249,365,377,112,112,79,80,85,53,42,78
CUT2944,II,148666,149359,+,694,352,344,207,485,450,453,436,604,591,276,259,282,658,723,783,694,588,675,875,833,587,722,2352,2155,1631,1604,1284,1225,316,431,442,370,254,305
CUT2946,II,552200,552907,+,708,1,5,2,86,61,70,72,122,115,1,3,0,66,93,175,144,83,96,30,33,10,12,289,268,533,560,10,6,20,27,27,2,2,27
CUT3809,II,319633,319911,+,279,793,842,536,510,517,475,362,435,498,640,618,620,871,905,865,712,584,600,976,959,851,932,1047,1012,1204,1268,1824,1908,367,406,380,404,339,412
CUT3823,II,68687,69090,+,404,0,0,0,1,0,0,3,0,0,1,0,0,2,3,5,4,0,5,1,0,0,0,66,63,45,44,3,0,0,0,2,0,0,0
in_YBR230C.I1,II,679942,680040,0,99,91,97,216,202,195,204,141,202,215,262,264,58,513,605,470,461,364,384,823,816,222,261,1018,896,1082,1108,382,309,274,187,157,196,158,300
CUT3858,II,338220,338965,+,746,43,39,19,351,312,277,382,551,599,21,28,22,141,123,238,192,91,99,386,350,31,37,180,146,299,271,72,70,155,97,95,23,20,188
CUT3864,II,419297,419959,-,663,25,21,15,172,162,141,130,203,215,25,17,12,283,250,213,161,113,110,303,282,15,29,1921,1866,1260,1173,55,60,65,53,60,14,8,77
CUT3869,II,398405,398753,+,349,5,6,1,6,5,6,8,8,19,1,0,6,29,35,72,50,46,34,15,16,12,17,7,4,18,9,11,1,11,19,31,4,2,8
